,country,historical_medals,paris2024_medals,total_medals
209,USA,4919.0,330.0,5249.0
35,CAN,3168.0,57.0,3225.0
40,CHN,3030.0,168.0,3198.0
104,JPN,2962.0,82.0,3044.0
79,GER,2901.0,113.0,3014.0
12,AUS,2832.0,123.0,2955.0
69,FRA,2644.0,187.0,2831.0
100,ITA,2631.0,88.0,2719.0
74,GBR,2550.0,162.0,2712.0
109,KOR,2343.0,58.0,2401.0
167,RUS,2060.0,0.0,2060.0
63,ESP,1970.0,83.0,2053.0
28,BRA,1608.0,67.0,1675.0
143,NED,1498.0,118.0,1616.0
188,SWE,1543.0,16.0,1559.0
159,POL,1449.0,28.0,1477.0
185,SUI,1368.0,10.0,1378.0
206,UKR,1213.0,16.0,1229.0
90,HUN,1114.0,31.0,1145.0
149,NZL,1058.0,51.0,1109.0
