,discipline,paris2024_participants
0,['Athletics'],2018
1,['Swimming'],836
2,['Football'],553
3,['Rowing'],493
4,['Hockey'],415
5,['Handball'],386
6,['Judo'],378
7,['Shooting'],342
8,['Sailing'],330
9,['Rugby Sevens'],317
10,['Volleyball'],311
11,['Wrestling'],291
12,['Basketball'],287
13,['Water Polo'],286
14,['Fencing'],260
15,['Boxing'],248
16,['Equestrian'],242
17,['Canoe Sprint'],239
18,['Cycling Track'],224
19,['Artistic Gymnastics'],190
20,['Tennis'],176
21,['Table Tennis'],175
22,['Badminton'],175
23,['Cycling Road'],174
24,['Diving'],135
25,['Taekwondo'],134
26,['Archery'],128
27,['Weightlifting'],122
28,['Golf'],120
29,['Triathlon'],111
30,['Artistic Swimming'],106
31,['Beach Volleyball'],96
32,['Rhythmic Gymnastics'],94
33,['Skateboarding'],88
34,['Canoe Slalom'],84
35,['Modern Pentathlon'],72
36,['Sport Climbing'],68
37,['Cycling Mountain Bike'],68
38,['Cycling BMX Racing'],67
39,['3x3 Basketball'],64
40,['Surfing'],48
41,['Marathon Swimming'],38
42,['Breaking'],33
43,['Trampoline Gymnastics'],32
44,['Cycling BMX Freestyle'],24
45,'Swimming'],17
46,['Marathon Swimming',17
47,['Cycling Road',14
48,'Cycling Track'],11
49,'Cycling Mountain Bike'],2
50,[Athletics],2
51,'Triathlon'],1
52,['3x3 Basketball',1
53,'Basketball'],1
54,[Equestrian],1
